Shift_Code,Start_Time,End_Time,Exception_Rule,Alt_Start,Alt_End
DA,07:15,15:15
DT,15:00,21:45
DK,07:30,15:15
DL,15:00,22:00
DC,07:30,15:15
DZ,09:00,15:15
DP,15:00,21:30
DS,15:00,21:30
DY,10:00,21:00
DB,07:30,15:15,wednesday,07:30,16:30
DF,09:15,15:15
DD,07:30,16:30,wednesday,7:30,15:15
DN,15:00,22:30
DI,07:30,15:15
DQ,15:00,22:30
RV,07:15,15:15
RL,15:00,21:00
EV,07:30,15:15
EL,15:00,21:30
VD,07:30,19:00
LD,15:00,22:00
VAK,00:00,24:00
